id,l1-in,l1-out,l2-in,l2-out,l3-in,l3-out,name,capacity,
122,20118_900044,900044_20118,900044_900045,900045_900044,900045_22509,22509_900045,Jacksons Hill,0,
2,20040_900046,900046_20040,900046_900047,900047_900046,900047_22242,22242_900047,Albion,473,
123,20133_900048,900048_20133,900048_900049,900049_900048,900049_22276,22276_900049,Jewell,121,
4,20204_900050,900050_20204,900050_900051,900051_900050,900051_22315,22315_900051,Alphington,94,
125,20079_900052,900052_20079,900052_900053,900053_900052,900053_22157,22157_900053,Kananook,148,
5,20278_900054,900054_20278,900054_900055,900055_900054,900055_22211,22211_900055,Altona,128,
127,20072_900056,900056_20072,900056_900057,900057_900056,900057_22173,22173_900057,Keilor Plains,303,
7,20209_900058,900058_20209,900058_900059,900059_900058,900059_22254,22254_900059,Ascot Vale,137,
128,20201_900060,900060_20201,900060_900061,900061_900060,900061_22303,22303_900061,Keon Park,112,
8,20063_900062,900062_20063,900062_900063,900063_900062,900063_22055,22055_900063,Ashburton,134,
21,20137_900064,900064_20137,900064_900065,900065_900064,900065_22045,22045_900065,Belgrave,132,
24,20068_900066,900066_20068,900066_900067,900067_900066,900067_22123,22123_900067,Bentleigh,178,
25,20029_900068,900068_20029,900068_900069,900069_900068,900069_22102,22102_900069,Berwick,441,
26,20111_900070,900070_20111,900070_900071,900071_900070,900071_22030,22030_900071,Beveridge,0,
250,20003_900072,900072_20003,900072_900073,900073_900072,900073_22244,22244_900073,Watergardens,723,
251,20009_900074,900074_20009,900074_900075,900075_900074,900075_22322,22322_900075,Watsonia,385,
252,20191_900076,900076_20191,900076_900077,900077_900076,900077_22327,22327_900077,Wattle Glen,210,
133,20049_900078,900078_20049,900078_900079,900079_900078,900079_22305,22305_900079,Lalor,270,
254,20001_900080,900080_20001,900080_900081,900081_900080,900081_22221,22221_900081,Werribee,697,
255,20276_900082,900082_20276,900082_900083,900083_900082,900083_22230,22230_900083,West Footscray,215,
135,20039_900084,900084_20039,900084_900085,900085_900084,900085_22219,22219_900085,Laverton,980,
256,20180_900086,900086_20180,900086_900087,900087_900086,900087_22095,22095_900087,Westall,199,
136,20011_900088,900088_20011,900088_900089,900089_900088,900089_22022,22022_900089,Lilydale,328,
257,20279_900090,900090_20279,900090_900091,900091_900090,900091_22351,22351_900091,Westona,106,
